column,dtype,missing_rate,unique_count,is_numeric,mean,std,min,max,q25,q50,q75
V220,float32,0.7502,27,True,0.1739789843559265,1.0111550092697144,0.0,25.0,0.0,0.0,0.0
V221,float32,0.7502,73,True,1.2868326902389526,2.82810378074646,0.0,384.0,1.0,1.0,1.0
V222,float32,0.7502,73,True,1.367039442062378,2.9950411319732666,0.0,384.0,1.0,1.0,1.0
V223,float32,0.7673,18,True,0.09217264503240585,0.4107659161090851,0.0,16.0,0.0,0.0,0.0
V224,float32,0.7673,78,True,0.34939736127853394,3.5609872341156006,0.0,144.0,0.0,0.0,0.0
V225,float32,0.7673,36,True,0.17691363394260406,1.329131007194519,0.0,51.0,0.0,0.0,0.0
V226,float32,0.7673,41,True,0.1394915133714676,1.5359675884246826,0.0,242.0,0.0,0.0,0.0
V227,float32,0.7502,45,True,0.14937299489974976,2.173616886138916,0.0,360.0,0.0,0.0,0.0
V228,float32,0.7673,56,True,1.3351889848709106,1.3793054819107056,0.0,54.0,1.0,1.0,1.0
V229,float32,0.7673,92,True,1.6283258199691772,4.583785533905029,0.0,176.0,1.0,1.0,1.0
V230,float32,0.7673,67,True,1.4477827548980713,2.1554088592529297,0.0,65.0,1.0,1.0,1.0
V231,float32,0.7673,53,True,0.3721380829811096,1.6192576885223389,0.0,51.0,0.0,0.0,0.0
V232,float32,0.7673,58,True,0.5239095687866211,2.3552708625793457,0.0,56.0,0.0,0.0,0.0
V233,float32,0.7673,53,True,0.44025105237960815,1.886681079864502,0.0,51.0,0.0,0.0,0.0
V234,float32,0.7502,122,True,1.5561515092849731,9.889245986938477,0.0,121.0,0.0,0.0,0.0
V235,float32,0.7673,17,True,0.14041024446487427,0.5699127912521362,0.0,15.0,0.0,0.0,0.0
V236,float32,0.7673,30,True,0.20145539939403534,1.0926871299743652,0.0,34.0,0.0,0.0,0.0
V237,float32,0.7673,18,True,0.16285987198352814,0.681674599647522,0.0,16.0,0.0,0.0,0.0
V238,float32,0.7502,20,True,0.12208947539329529,0.5386447310447693,0.0,23.0,0.0,0.0,0.0
V239,float32,0.7502,20,True,0.13081681728363037,0.5871272683143616,0.0,23.0,0.0,0.0,0.0
V240,float32,0.7673,7,True,1.0010278224945068,0.05248945206403732,0.0,7.0,1.0,1.0,1.0
V241,float32,0.7673,6,True,1.00025475025177,0.023360589519143105,0.0,5.0,1.0,1.0,1.0
V242,float32,0.7673,22,True,1.1098830699920654,0.6409916281700134,0.0,20.0,1.0,1.0,1.0
V243,float32,0.7673,44,True,1.17864191532135,1.4731595516204834,0.0,57.0,1.0,1.0,1.0
V244,float32,0.7673,24,True,1.1143584251403809,0.6769620180130005,0.0,22.0,1.0,1.0,1.0
V245,float32,0.7502,52,True,0.8905609250068665,1.9059618711471558,0.0,262.0,1.0,1.0,1.0
V246,float32,0.7673,47,True,1.1772774457931519,1.037387728691101,0.0,45.0,1.0,1.0,1.0
V247,float32,0.7673,14,True,1.0234956741333008,0.24428465962409973,0.0,12.0,1.0,1.0,1.0
V248,float32,0.7673,17,True,1.0705052614212036,0.9461866021156311,0.0,36.0,1.0,1.0,1.0
V249,float32,0.7673,17,True,1.042388677597046,0.5433059334754944,0.0,22.0,1.0,1.0,1.0
V250,float32,0.7502,16,True,0.8031265735626221,0.45657795667648315,0.0,17.0,1.0,1.0,1.0
V251,float32,0.7502,16,True,0.8088120818138123,0.47145476937294006,0.0,17.0,1.0,1.0,1.0
V252,float32,0.7673,20,True,1.0316550731658936,0.36229702830314636,0.0,18.0,1.0,1.0,1.0
V253,float32,0.7673,62,True,1.1781142950057983,3.9207396507263184,0.0,163.0,1.0,1.0,1.0
V254,float32,0.7673,40,True,1.0803110599517822,1.4593350887298584,0.0,60.0,1.0,1.0,1.0
V255,float32,0.7502,37,True,0.8214624524116516,0.9308123588562012,0.0,87.0,1.0,1.0,1.0
V256,float32,0.7502,43,True,0.8305371999740601,0.9672386050224304,0.0,87.0,1.0,1.0,1.0
V257,float32,0.7673,50,True,1.2432801723480225,1.325252652168274,0.0,48.0,1.0,1.0,1.0
V258,float32,0.7673,68,True,1.338609218597412,2.1147263050079346,0.0,66.0,1.0,1.0,1.0
V259,float32,0.7502,65,True,0.9824521541595459,2.2115752696990967,0.0,285.0,1.0,1.0,1.0
V260,float32,0.7673,10,True,0.9617137312889099,0.369137167930603,0.0,8.0,1.0,1.0,1.0
V261,float32,0.7673,42,True,1.0900622606277466,1.3332141637802124,0.0,49.0,1.0,1.0,1.0
V262,float32,0.7673,22,True,1.0091053247451782,0.6313203573226929,0.0,20.0,1.0,1.0,1.0
V263,float32,0.7673,8230,True,74.82366180419922,875.2392578125,0.0,153600.0,0.0,0.0,0.0
V264,float32,0.7673,10621,True,144.35008239746094,1983.703857421875,0.0,153600.0,0.0,0.0,29.922749519348145
V265,float32,0.7673,9296,True,98.5912094116211,1090.63671875,0.0,153600.0,0.0,0.0,16.323999404907227
V266,float32,0.7673,1847,True,9.33372688293457,219.6458740234375,0.0,55125.0,0.0,0.0,0.0
V267,float32,0.7673,3033,True,34.69150924682617,679.836181640625,0.0,55125.0,0.0,0.0,0.0
V268,float32,0.7673,2334,True,18.207679748535156,326.2730712890625,0.0,55125.0,0.0,0.0,0.0
V269,float32,0.7673,137,True,6.029601573944092,218.9572296142578,0.0,55125.0,0.0,0.0,0.0
V270,float32,0.7502,1950,True,8.208165168762207,70.51925659179688,0.0,4000.0,0.0,0.0,0.0
V271,float32,0.7502,2327,True,9.825806617736816,78.34225463867188,0.0,4000.0,0.0,0.0,0.0
V272,float32,0.7502,2095,True,8.959009170532227,74.69188690185547,0.0,4000.0,0.0,0.0,0.0
V273,float32,0.7673,5502,True,36.51335144042969,326.48846435546875,0.0,51200.0,0.0,0.0,0.0
V274,float32,0.7673,6392,True,64.47340393066406,809.9279174804688,0.0,66000.0,0.0,0.0,0.0
V275,float32,0.7673,5951,True,46.102027893066406,454.90631103515625,0.0,51200.0,0.0,0.0,0.0
V276,float32,0.7673,1804,True,26.67659568786621,551.3048706054688,0.0,101640.0,0.0,0.0,0.0
V277,float32,0.7673,2030,True,40.2123908996582,650.3453369140625,0.0,101640.0,0.0,0.0,0.0
V278,float32,0.7673,1922,True,31.780376434326172,569.439208984375,0.0,101640.0,0.0,0.0,0.0
V279,float32,0.0,60,True,0.30555015802383423,1.1336885690689087,0.0,66.0,0.0,0.0,0.0
V280,float32,0.0,180,True,0.7724524736404419,4.660071849822998,0.0,323.0,0.0,0.0,1.0
V281,float32,0.002,24,True,0.08806861191987991,0.5071583390235901,0.0,22.0,0.0,0.0,0.0
V282,float32,0.002,34,True,0.825385570526123,0.9127797484397888,0.0,32.0,0.0,1.0,1.0
V283,float32,0.002,53,True,0.9959554076194763,1.5424644947052002,0.0,68.0,0.0,1.0,1.0
V284,float32,0.0,14,True,0.08697769045829773,0.33672329783439636,0.0,12.0,0.0,0.0,0.0
V285,float32,0.0,97,True,1.086139440536499,3.1542088985443115,0.0,95.0,0.0,0.0,1.0
V286,float32,0.0,10,True,0.03239278495311737,0.1947912573814392,0.0,8.0,0.0,0.0,0.0
V287,float32,0.0,33,True,0.3333834409713745,1.0248130559921265,0.0,31.0,0.0,0.0,0.0
V288,float32,0.002,12,True,0.1800587922334671,0.42749476432800293,0.0,10.0,0.0,0.0,0.0
V289,float32,0.002,14,True,0.23260854184627533,0.6005735993385315,0.0,12.0,0.0,0.0,0.0
V290,float32,0.0,59,True,1.1019262075424194,0.7787348031997681,1.0,67.0,1.0,1.0,1.0
V291,float32,0.0,178,True,1.706964135169983,17.705472946166992,1.0,1055.0,1.0,1.0,1.0
V292,float32,0.0,134,True,1.2473498582839966,4.109978675842285,1.0,323.0,1.0,1.0,1.0
V293,float32,0.0,61,True,0.15234960615634918,0.9458082318305969,0.0,66.0,0.0,0.0,0.0
V294,float32,0.0,260,True,0.8906651139259338,18.12897300720215,0.0,1093.0,0.0,0.0,0.0
V295,float32,0.0,173,True,0.34345921874046326,4.370475769042969,0.0,322.0,0.0,0.0,0.0
V296,float32,0.002,61,True,0.1878807097673416,1.2860321998596191,0.0,61.0,0.0,0.0,0.0
V297,float32,0.0,14,True,0.06328902393579483,0.3679247796535492,0.0,12.0,0.0,0.0,0.0
V298,float32,0.0,45,True,0.15813048183918,1.0294591188430786,0.0,47.0,0.0,0.0,0.0
V299,float32,0.0,28,True,0.0921701043844223,0.559597373008728,0.0,26.0,0.0,0.0,0.0
V300,float32,0.002,13,True,0.04490812122821808,0.29036685824394226,0.0,11.0,0.0,0.0,0.0
V301,float32,0.002,13,True,0.050986647605895996,0.31432661414146423,0.0,11.0,0.0,0.0,0.0
V302,float32,0.0,12,True,0.2594936788082123,0.4750649034976959,0.0,10.0,0.0,0.0,0.0
V303,float32,0.0,18,True,0.2839951813220978,0.579340934753418,0.0,17.0,0.0,0.0,0.0
V304,float32,0.0,13,True,0.2684200406074524,0.5047920346260071,0.0,11.0,0.0,0.0,0.0
V305,float32,0.0,3,True,1.000008463859558,0.00290980888530612,1.0,2.0,1.0,1.0,1.0
V306,float32,0.0,12611,True,50.6172981262207,489.4074401855469,0.0,108800.0,0.0,0.0,0.0
V307,float32,0.0,30772,True,237.79159545898438,1562.7540283203125,0.0,121000.0,0.0,0.0,142.0
V308,float32,0.0,18381,True,103.29691314697266,662.4771118164062,0.0,108800.0,0.0,0.0,32.00669860839844
V309,float32,0.0,3673,True,10.837282180786133,122.78050231933594,0.0,55125.0,0.0,0.0,0.0
V310,float32,0.0,16698,True,110.94207763671875,344.2650146484375,0.0,55125.0,0.0,0.0,100.0
V311,float32,0.0,2665,True,4.272213935852051,109.70328521728516,0.0,55125.0,0.0,0.0,0.0
V312,float32,0.0,7000,True,36.54911422729492,169.9044647216797,0.0,55125.0,0.0,0.0,0.0
V313,float32,0.002,4692,True,20.707637786865234,93.89399719238281,0.0,4817.47021484375,0.0,0.0,0.0
V314,float32,0.002,9908,True,40.93867874145508,165.89566040039062,0.0,6159.89013671875,0.0,0.0,0.0
V315,float32,0.002,5970,True,26.2842960357666,114.70083618164062,0.0,4817.47021484375,0.0,0.0,0.0
V316,float32,0.0,7136,True,23.995067596435547,282.0000915527344,0.0,63874.78125,0.0,0.0,0.0
V317,float32,0.0,11710,True,99.18046569824219,1386.9208984375,0.0,86715.9609375,0.0,0.0,0.0
V318,float32,0.0,9270,True,46.73522186279297,478.2424011230469,0.0,63874.78125,0.0,0.0,0.0
V319,float32,0.0,3993,True,15.188190460205078,311.6486511230469,0.0,101640.0,0.0,0.0,0.0
V320,float32,0.0,5363,True,26.98419189453125,340.215576171875,0.0,101640.0,0.0,0.0,0.0
V321,float32,0.0,4589,True,19.373271942138672,321.70703125,0.0,101640.0,0.0,0.0,0.0
V322,float32,0.8518,34,True,0.35880663990974426,1.1521705389022827,0.0,32.0,0.0,0.0,0.0
V323,float32,0.8518,51,True,0.8302794694900513,3.149359703063965,0.0,49.0,0.0,0.0,0.0
V324,float32,0.8518,35,True,0.5028777122497559,1.5130994319915771,0.0,33.0,0.0,0.0,0.0
V325,float32,0.8518,14,True,0.045272134244441986,0.2706875503063202,0.0,12.0,0.0,0.0,0.0
V326,float32,0.8518,46,True,0.4018794298171997,2.3795433044433594,0.0,44.0,0.0,0.0,0.0
V327,float32,0.8518,20,True,0.14027220010757446,0.7453008890151978,0.0,18.0,0.0,0.0,0.0
V328,float32,0.8518,17,True,0.14114336669445038,0.6057432293891907,0.0,15.0,0.0,0.0,0.0
V329,float32,0.8518,26,True,0.2039673775434494,1.0218335390090942,0.0,24.0,0.0,0.0,0.0
V330,float32,0.8518,17,True,0.16082318127155304,0.6892073154449463,0.0,15.0,0.0,0.0,0.0
V331,float32,0.8518,377,True,82.6812515258789,1019.3087158203125,0.0,160000.0,0.0,0.0,0.0
V332,float32,0.8518,949,True,112.74321746826172,1085.638916015625,0.0,160000.0,0.0,0.0,0.0
V333,float32,0.8518,599,True,94.21143341064453,1032.681396484375,0.0,160000.0,0.0,0.0,0.0
V334,float32,0.8518,127,True,9.087295532226562,262.8874816894531,0.0,55125.0,0.0,0.0,0.0
V335,float32,0.8518,587,True,25.245176315307617,308.07342529296875,0.0,55125.0,0.0,0.0,0.0
V336,float32,0.8518,314,True,14.18839168548584,268.0274658203125,0.0,55125.0,0.0,0.0,0.0
V337,float32,0.8518,164,True,33.35737228393555,540.031982421875,0.0,64800.0,0.0,0.0,0.0
V338,float32,0.8518,232,True,38.84483337402344,553.0448608398438,0.0,64800.0,0.0,0.0,0.0
V339,float32,0.8518,193,True,35.25503158569336,542.6554565429688,0.0,64800.0,0.0,0.0,0.0
id_01,category,0.745,72,False,,,,,,,
id_02,category,0.7509,99488,False,,,,,,,
id_03,category,0.8855,25,False,,,,,,,
id_04,category,0.8855,16,False,,,,,,,
id_05,category,0.7577,91,False,,,,,,,
id_06,category,0.7577,101,False,,,,,,,
id_07,category,0.991,83,False,,,,,,,
id_08,category,0.991,94,False,,,,,,,
id_09,category,0.8696,44,False,,,,,,,
id_10,category,0.8696,60,False,,,,,,,
id_11,category,0.7507,350,False,,,,,,,
id_12,category,0.745,3,False,,,,,,,
id_13,category,0.7774,53,False,,,,,,,
id_14,category,0.8556,26,False,,,,,,,
id_15,category,0.7507,4,False,,,,,,,
id_16,category,0.771,3,False,,,,,,,
id_17,category,0.753,103,False,,,,,,,
id_18,category,0.9208,19,False,,,,,,,
id_19,category,0.7531,511,False,,,,,,,
id_20,category,0.7531,381,False,,,,,,,
id_21,category,0.991,445,False,,,,,,,
id_22,category,0.991,24,False,,,,,,,
id_23,category,0.991,4,False,,,,,,,
id_24,category,0.9917,12,False,,,,,,,
id_25,category,0.991,318,False,,,,,,,
id_26,category,0.991,90,False,,,,,,,
id_27,category,0.991,3,False,,,,,,,
id_28,category,0.7507,3,False,,,,,,,
id_29,category,0.7507,3,False,,,,,,,
id_30,category,0.8601,73,False,,,,,,,
id_31,category,0.7514,111,False,,,,,,,
id_32,category,0.8601,5,False,,,,,,,
id_33,category,0.8692,213,False,,,,,,,
id_34,category,0.86,5,False,,,,,,,
id_35,category,0.7507,3,False,,,,,,,
id_36,category,0.7507,3,False,,,,,,,
id_37,category,0.7507,3,False,,,,,,,
id_38,category,0.7507,3,False,,,,,,,
DeviceType,object,0.751,3,False,,,,,,,
DeviceInfo,object,0.7893,1640,False,,,,,,,
